DATE,TIME,実績(万kW),DATETIME
2021/4/18,12:00,557,2021-04-18 12:00:00
2021/4/18,13:00,544,2021-04-18 13:00:00
2021/4/18,14:00,545,2021-04-18 14:00:00
2021/4/18,15:00,531,2021-04-18 15:00:00
2021/4/18,16:00,553,2021-04-18 16:00:00
2021/4/18,17:00,587,2021-04-18 17:00:00
2021/4/18,18:00,626,2021-04-18 18:00:00
2021/4/18,19:00,647,2021-04-18 19:00:00
2021/4/18,20:00,639,2021-04-18 20:00:00
2021/4/18,21:00,611,2021-04-18 21:00:00
2021/4/18,22:00,568,2021-04-18 22:00:00
2021/4/18,23:00,534,2021-04-18 23:00:00
2021/4/19,0:00,526,2021-04-19 0:00:00
2021/4/19,1:00,531,2021-04-19 1:00:00
2021/4/19,2:00,582,2021-04-19 2:00:00
2021/4/19,3:00,626,2021-04-19 3:00:00
2021/4/19,4:00,651,2021-04-19 4:00:00
2021/4/19,5:00,655,2021-04-19 5:00:00
2021/4/19,6:00,678,2021-04-19 6:00:00
2021/4/19,7:00,659,2021-04-19 7:00:00
2021/4/19,8:00,667,2021-04-19 8:00:00
2021/4/19,9:00,681,2021-04-19 9:00:00
2021/4/19,10:00,684,2021-04-19 10:00:00
2021/4/19,11:00,678,2021-04-19 11:00:00
2021/4/19,12:00,643,2021-04-19 12:00:00
2021/4/19,13:00,665,2021-04-19 13:00:00
2021/4/19,14:00,653,2021-04-19 14:00:00
2021/4/19,15:00,635,2021-04-19 15:00:00
2021/4/19,16:00,648,2021-04-19 16:00:00
2021/4/19,17:00,651,2021-04-19 17:00:00
2021/4/19,18:00,655,2021-04-19 18:00:00
2021/4/19,19:00,662,2021-04-19 19:00:00
2021/4/19,20:00,645,2021-04-19 20:00:00
2021/4/19,21:00,622,2021-04-19 21:00:00
2021/4/19,22:00,593,2021-04-19 22:00:00
2021/4/19,23:00,570,2021-04-19 23:00:00
2021/4/20,0:00,563,2021-04-20 0:00:00
2021/4/20,1:00,563,2021-04-20 1:00:00
2021/4/20,2:00,602,2021-04-20 2:00:00
2021/4/20,3:00,644,2021-04-20 3:00:00
2021/4/20,4:00,659,2021-04-20 4:00:00
2021/4/20,5:00,655,2021-04-20 5:00:00
2021/4/20,6:00,665,2021-04-20 6:00:00
2021/4/20,7:00,642,2021-04-20 7:00:00
2021/4/20,8:00,657,2021-04-20 8:00:00
2021/4/20,9:00,677,2021-04-20 9:00:00
2021/4/20,10:00,671,2021-04-20 10:00:00
2021/4/20,11:00,673,2021-04-20 11:00:00
2021/4/20,12:00,640,2021-04-20 12:00:00
2021/4/20,13:00,663,2021-04-20 13:00:00
2021/4/20,14:00,656,2021-04-20 14:00:00
2021/4/20,15:00,653,2021-04-20 15:00:00
2021/4/20,16:00,655,2021-04-20 16:00:00
2021/4/20,17:00,635,2021-04-20 17:00:00
2021/4/20,18:00,640,2021-04-20 18:00:00
2021/4/20,19:00,644,2021-04-20 19:00:00
2021/4/20,20:00,623,2021-04-20 20:00:00
2021/4/20,21:00,602,2021-04-20 21:00:00
2021/4/20,22:00,578,2021-04-20 22:00:00
2021/4/20,23:00,553,2021-04-20 23:00:00
2021/4/21,0:00,538,2021-04-21 0:00:00
2021/4/21,1:00,543,2021-04-21 1:00:00
2021/4/21,2:00,579,2021-04-21 2:00:00
2021/4/21,3:00,620,2021-04-21 3:00:00
2021/4/21,4:00,641,2021-04-21 4:00:00
2021/4/21,5:00,636,2021-04-21 5:00:00
2021/4/21,6:00,631,2021-04-21 6:00:00
2021/4/21,7:00,622,2021-04-21 7:00:00
2021/4/21,8:00,641,2021-04-21 8:00:00
2021/4/21,9:00,664,2021-04-21 9:00:00
2021/4/21,10:00,656,2021-04-21 10:00:00
2021/4/21,11:00,667,2021-04-21 11:00:00
2021/4/21,12:00,636,2021-04-21 12:00:00
2021/4/21,13:00,660,2021-04-21 13:00:00
2021/4/21,14:00,656,2021-04-21 14:00:00
2021/4/21,15:00,652,2021-04-21 15:00:00
2021/4/21,16:00,652,2021-04-21 16:00:00
2021/4/21,17:00,634,2021-04-21 17:00:00
2021/4/21,18:00,634,2021-04-21 18:00:00
2021/4/21,19:00,633,2021-04-21 19:00:00
2021/4/21,20:00,616,2021-04-21 20:00:00
2021/4/21,21:00,592,2021-04-21 21:00:00
2021/4/21,22:00,572,2021-04-21 22:00:00
2021/4/21,23:00,547,2021-04-21 23:00:00
2021/4/22,0:00,536,2021-04-22 0:00:00
2021/4/22,1:00,547,2021-04-22 1:00:00
2021/4/22,2:00,573,2021-04-22 2:00:00
2021/4/22,3:00,613,2021-04-22 3:00:00
2021/4/22,4:00,628,2021-04-22 4:00:00
2021/4/22,5:00,609,2021-04-22 5:00:00
2021/4/22,6:00,595,2021-04-22 6:00:00
2021/4/22,7:00,584,2021-04-22 7:00:00
2021/4/22,8:00,618,2021-04-22 8:00:00
2021/4/22,9:00,654,2021-04-22 9:00:00
2021/4/22,10:00,645,2021-04-22 10:00:00
2021/4/22,11:00,658,2021-04-22 11:00:00
2021/4/22,12:00,630,2021-04-22 12:00:00
2021/4/22,13:00,648,2021-04-22 13:00:00
2021/4/22,14:00,642,2021-04-22 14:00:00
2021/4/22,15:00,642,2021-04-22 15:00:00
2021/4/22,16:00,648,2021-04-22 16:00:00
2021/4/22,17:00,646,2021-04-22 17:00:00
2021/4/22,18:00,650,2021-04-22 18:00:00
2021/4/22,19:00,646,2021-04-22 19:00:00
2021/4/22,20:00,625,2021-04-22 20:00:00
2021/4/22,21:00,598,2021-04-22 21:00:00
2021/4/22,22:00,577,2021-04-22 22:00:00
2021/4/22,23:00,555,2021-04-22 23:00:00
2021/4/23,0:00,548,2021-04-23 0:00:00
2021/4/23,1:00,548,2021-04-23 1:00:00
2021/4/23,2:00,582,2021-04-23 2:00:00
2021/4/23,3:00,627,2021-04-23 3:00:00
2021/4/23,4:00,644,2021-04-23 4:00:00
2021/4/23,5:00,633,2021-04-23 5:00:00
