需給実績公表,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります。,,,,,,,,,,,（単位：MWh）
,,,,,,,,,,,
DATE,TIME,"エリアの
需要実績",,エリアの供給実績,,,,,,,
,,,,火力,水力,バイオマス,太陽光,,風力,,合計
,,,,,,,,"太陽光
出力制御量",,"風力
出力制御量",
,,,,,,,,,,,
2023/4/10,13:00,809.3,,594.3,0.9,2.8,208.9,14.7,2.4,0.4,809.3
2023/4/10,14:00,836.3,,631.3,0.9,2.8,198.8,14,2.5,0.5,836.3
2023/4/10,15:00,811.8,,665.5,0.9,2.8,141,9.9,1.6,0.5,811.8
2023/4/10,16:00,794.2,,686.7,0.9,2.8,102.2,0,1.6,0,794.2
2023/4/10,17:00,792.5,,725.5,0.9,2.8,61,0,2.3,0,792.5
2023/4/10,18:00,800.6,,783,0.9,2.8,11.7,0,2.2,0,800.6
2023/4/10,19:00,823.8,,818.2,0.9,2.8,0,0,1.9,0,823.8
2023/4/10,20:00,796.4,,790.8,0.9,2.8,0,0,1.9,0,796.4
2023/4/10,21:00,754,,747,0.9,2.8,0,0,3.3,0,754
2023/4/10,22:00,703.6,,695.2,0.9,2.8,0,0,4.7,0,703.6
2023/4/10,23:00,657.3,,648.8,0.9,2.8,0,0,4.8,0,657.3
2023/4/11,0:00,607.5,,600.1,0.9,2.8,0,0,3.7,0,607.5
2023/4/11,1:00,583.6,,577.4,0.9,2.8,0,0,2.5,0,583.6
2023/4/11,2:00,597,,591.9,0.9,2.8,0,0,1.4,0,597
2023/4/11,3:00,630.9,,626.8,0.9,2.8,0,0,0.4,0,630.9
2023/4/11,4:00,648.9,,644.9,0.9,2.8,0,0,0.3,0,648.9
2023/4/11,5:00,646.5,,642.5,0.9,2.8,0,0,0.3,0,646.5
2023/4/11,6:00,657.5,,649.4,0.9,2.8,4.1,0,0.3,0,657.5
2023/4/11,7:00,695.6,,657.4,0.9,2.8,34,0,0.5,0,695.6
2023/4/11,8:00,777.7,,657.1,0.9,2.8,116.2,0,0.7,0,777.7
2023/4/11,9:00,814.1,,648.8,0.9,2.8,160.9,0,0.7,0,814.1
2023/4/11,10:00,847.5,,621.9,0.9,2.8,221.4,0,0.5,0,847.5
2023/4/11,11:00,884.8,,607.7,0.9,2.8,272.9,0,0.5,0,884.8
2023/4/11,12:00,869.7,,590.1,0.9,2.8,275.6,0,0.3,0,869.7
2023/4/11,13:00,882.5,,621.9,0.9,2.8,256.5,0,0.4,0,882.5
2023/4/11,14:00,858.6,,651.6,0.9,2.8,203.1,0,0.2,0,858.6
2023/4/11,15:00,845.2,,701.4,0.9,2.8,139.8,0,0.3,0,845.2
2023/4/11,16:00,868.9,,749.8,0.9,2.8,115.2,0,0.2,0,868.9
2023/4/11,17:00,856.7,,795.3,0.9,2.8,57.4,0,0.3,0,856.7
2023/4/11,18:00,858.4,,843.6,0.9,2.8,10.6,0,0.5,0,858.4
2023/4/11,19:00,875,,870.9,0.9,2.8,0,0,0.4,0,875
2023/4/11,20:00,846.5,,842.3,0.9,2.8,0,0,0.5,0,846.5
2023/4/11,21:00,801.7,,796.8,0.9,2.8,0,0,1.2,0,801.7
2023/4/11,22:00,742,,737.1,0.9,2.8,0,0,1.2,0,742
2023/4/11,23:00,690.9,,686.2,0.9,2.8,0,0,1,0,690.9
2023/4/12,0:00,642.6,,638.2,0.9,2.8,0,0,0.7,0,642.6
2023/4/12,1:00,616.2,,612,0.9,2.8,0,0,0.5,0,616.2
2023/4/12,2:00,626.8,,622.7,0.9,2.8,0,0,0.4,0,626.8
2023/4/12,3:00,661.4,,657.7,0.9,2.8,0,0,0,0,661.4
2023/4/12,4:00,671.7,,668,0.9,2.8,0,0,0,0,671.7
2023/4/12,5:00,670.6,,666.9,0.9,2.8,0,0,0,0,670.6
2023/4/12,6:00,686.1,,676.2,0.9,2.8,6.2,0,0,0,686.1
2023/4/12,7:00,744.1,,700.5,0.9,2.8,39.9,0,0,0,744.1
2023/4/12,8:00,838.9,,728.8,0.9,2.8,106.4,0,0,0,838.9
2023/4/12,9:00,930.2,,743.4,0.9,2.8,183.1,0,0,0,930.2
2023/4/12,10:00,962.4,,720.9,0.9,2.8,237.6,0,0.2,0,962.4
2023/4/12,11:00,997.8,,720.5,0.9,2.8,273.1,0,0.5,0,997.8
2023/4/12,12:00,977.5,,687,0.9,2.8,286.4,0,0.4,0,977.5
2023/4/12,13:00,997.8,,707.4,0.9,2.8,286.4,0,0.3,0,997.8
2023/4/12,14:00,977.9,,737.8,0.9,2.8,236.2,0,0.2,0,977.9
2023/4/12,15:00,942.2,,759.4,0.9,2.8,178.1,0,1,0,942.2
2023/4/12,16:00,936.9,,792.9,0.9,2.8,138,0,2.3,0,936.9
2023/4/12,17:00,903.9,,837.6,0.9,2.8,59.1,0,3.5,0,903.9
2023/4/12,18:00,894.2,,876.9,0.9,2.8,9.5,0,4.1,0,894.2
2023/4/12,19:00,907.9,,900.2,0.9,2.8,0,0,4,0,907.9
2023/4/12,20:00,872.9,,865.8,0.9,2.8,0,0,3.4,0,872.9
2023/4/12,21:00,822.7,,815.9,0.9,2.8,0,0,3.1,0,822.7
2023/4/12,22:00,762.9,,756.5,0.9,2.8,0,0,2.7,0,762.9
2023/4/12,23:00,706.1,,700.9,0.9,2.8,0,0,1.5,0,706.1
2023/4/13,0:00,652.7,,648,0.9,2.8,0,0,1,0,652.7
2023/4/13,1:00,623,,618,0.9,2.8,0,0,1.3,0,623
2023/4/13,2:00,632.9,,627.9,0.9,2.8,0,0,1.3,0,632.9
2023/4/13,3:00,661.7,,657,0.9,2.8,0,0,1,0,661.7
2023/4/13,4:00,675.4,,670.7,0.9,2.8,0,0,1,0,675.4
2023/4/13,5:00,675.7,,670.7,0.9,2.8,0,0,1.3,0,675.7
2023/4/13,6:00,695.8,,683.4,0.9,2.8,6.8,0,1.9,0,695.8
2023/4/13,7:00,751.9,,700.8,0.9,2.8,44.8,0,2.6,0,751.9
2023/4/13,8:00,839.7,,731,0.9,2.8,102,0,3,0,839.7
2023/4/13,9:00,885.8,,729.8,0.9,2.8,148.9,0,3.4,0,885.8
2023/4/13,10:00,909.3,,702.2,0.9,2.8,199.8,0,3.6,0,909.3
