DATE,TIME,当日実績(万kW)
2020/01/27,06:00,1515
2020/01/27,07:00,1710
2020/01/27,08:00,1974
2020/01/27,09:00,2097
2020/01/27,10:00,2064
2020/01/27,11:00,2014
2020/01/27,12:00,1867
2020/01/27,13:00,1993
2020/01/27,14:00,2005
2020/01/27,15:00,2006
2020/01/27,16:00,2054
2020/01/27,17:00,2055
2020/01/27,18:00,2016
2020/01/27,19:00,1933
2020/01/27,20:00,1858
2020/01/27,21:00,1796
2020/01/27,22:00,1686
2020/01/27,23:00,1608
DATE,TIME,当日実績(万kW)
2020/01/28,00:00,1505
2020/01/28,01:00,1465
2020/01/28,02:00,1470
2020/01/28,03:00,1472
2020/01/28,04:00,1464
2020/01/28,05:00,1502
2020/01/28,06:00,1642
2020/01/28,07:00,1770
2020/01/28,08:00,1967
2020/01/28,09:00,2052
2020/01/28,10:00,2001
2020/01/28,11:00,1958
2020/01/28,12:00,1820
2020/01/28,13:00,1913
2020/01/28,14:00,1901
2020/01/28,15:00,1872
2020/01/28,16:00,1905
2020/01/28,17:00,1922
2020/01/28,18:00,1894
2020/01/28,19:00,1810
2020/01/28,20:00,1748
2020/01/28,21:00,1686
2020/01/28,22:00,1597
2020/01/28,23:00,1541
DATE,TIME,当日実績(万kW)
2020/01/29,00:00,1433
2020/01/29,01:00,1404
2020/01/29,02:00,1418
2020/01/29,03:00,1421
2020/01/29,04:00,1421
2020/01/29,05:00,1428
2020/01/29,06:00,1537
2020/01/29,07:00,1652
2020/01/29,08:00,1838
2020/01/29,09:00,1925
2020/01/29,10:00,1855
2020/01/29,11:00,1790
2020/01/29,12:00,1680
2020/01/29,13:00,1747
2020/01/29,14:00,1761
2020/01/29,15:00,1747
2020/01/29,16:00,1768
2020/01/29,17:00,1803
2020/01/29,18:00,1810
2020/01/29,19:00,1754
2020/01/29,20:00,1706
2020/01/29,21:00,1646
2020/01/29,22:00,1570
2020/01/29,23:00,1512
DATE,TIME,当日実績(万kW)
2020/01/30,00:00,1427
2020/01/30,01:00,1398
2020/01/30,02:00,1407
2020/01/30,03:00,1422
2020/01/30,04:00,1422
2020/01/30,05:00,1447
2020/01/30,06:00,1591
2020/01/30,07:00,1713
2020/01/30,08:00,1914
2020/01/30,09:00,1956
2020/01/30,10:00,1927
2020/01/30,11:00,1879
2020/01/30,12:00,1738
2020/01/30,13:00,1821
2020/01/30,14:00,1816
2020/01/30,15:00,1789
2020/01/30,16:00,1823
2020/01/30,17:00,1869
2020/01/30,18:00,1883
2020/01/30,19:00,1828
2020/01/30,20:00,1773
2020/01/30,21:00,1712
2020/01/30,22:00,1635
2020/01/30,23:00,1568
